epoch,train_acc,val_acc,train_loss,val_loss
1,0.6333333333333333,0.14444444444444443,2.0718894004821777,1.3079499006271362
2,0.8333333333333334,0.5,0.9945704936981201,1.6722900867462158
3,0.8333333333333334,0.5777777777777777,0.9345065951347351,1.6291824579238892
4,0.8333333333333334,0.5777777777777777,0.7947913408279419,1.2580004930496216
5,0.8333333333333334,0.5777777777777777,0.6171238422393799,0.920782208442688
6,0.8333333333333334,0.5777777777777777,0.4524601697921753,0.6878198981285095
7,0.8333333333333334,0.5888888888888889,0.33934709429740906,0.6276038885116577
8,0.8,0.5666666666666667,0.3113122284412384,0.6473349928855896
9,0.8,0.5666666666666667,0.3130766749382019,0.6571023464202881
10,0.8,0.5666666666666667,0.3085113763809204,0.6276270747184753
11,0.8666666666666667,0.7333333333333333,0.2865540385246277,0.5797467827796936
12,0.8333333333333334,0.5777777777777777,0.25707876682281494,0.5510171055793762
13,0.8333333333333334,0.5777777777777777,0.23590868711471558,0.5628024935722351
14,0.8333333333333334,0.5777777777777777,0.23278461396694183,0.5810381770133972
15,0.8333333333333334,0.5777777777777777,0.23494428396224976,0.5549831986427307
16,0.8333333333333334,0.6111111111111112,0.2219315618276596,0.4916824400424957
17,1.0,0.9333333333333333,0.19686265289783478,0.446456640958786
18,0.9666666666666667,0.9555555555555556,0.1824914962053299,0.43376368284225464
19,0.9666666666666667,0.9555555555555556,0.18170592188835144,0.40149879455566406
20,1.0,0.9777777777777777,0.1676165610551834,0.35887905955314636
21,1.0,0.8111111111111111,0.14280536770820618,0.36052948236465454
22,0.9333333333333333,0.8,0.1342131793498993,0.36788421869277954
23,1.0,0.8555555555555555,0.1317472755908966,0.31953465938568115
24,1.0,0.9777777777777777,0.11307302862405777,0.2648735046386719
25,1.0,0.9777777777777777,0.0984664186835289,0.24942396581172943
26,1.0,0.9777777777777777,0.0986919030547142,0.22654055058956146
27,1.0,0.9666666666666667,0.08522020280361176,0.2252892404794693
28,1.0,0.8888888888888888,0.0727730244398117,0.24780184030532837
29,1.0,0.9333333333333333,0.07279124110937119,0.21981185674667358
30,1.0,0.9777777777777777,0.06267036497592926,0.17354723811149597
31,1.0,0.9777777777777777,0.05363495275378227,0.15785351395606995
32,1.0,0.9777777777777777,0.054051198065280914,0.14885662496089935
33,1.0,0.9666666666666667,0.046300049871206284,0.16259513795375824
34,1.0,0.9444444444444444,0.040126387029886246,0.18503184616565704
35,1.0,0.9555555555555556,0.04033404588699341,0.16480021178722382
36,1.0,0.9777777777777777,0.034848228096961975,0.12961293756961823
37,1.0,0.9777777777777777,0.030600812286138535,0.1150178611278534
38,1.0,0.9777777777777777,0.03082011453807354,0.11369176208972931
39,1.0,0.9666666666666667,0.027277998626232147,0.12997962534427643
40,1.0,0.9555555555555556,0.023865003138780594,0.15251873433589935
