hidden_layers,activation,lr,epochs,accuracy
"(150, 100, 50)",relu,0.1,300,0.31635555555555556
"(256, 128, 64)",tanh,0.005,300,0.30266666666666664
"(128, 128, 128, 128)",tanh,0.005,300,0.2823111111111111
"(512, 512, 512)",tanh,0.001,300,0.2803555555555556
"(200, 150, 100, 50)",relu,0.1,300,0.25048888888888887
"(512, 256, 128, 64)",tanh,0.005,300,0.22133333333333333
"(100, 50)",tanh,0.001,300,0.18275555555555556
"(128, 128, 128, 128)",tanh,0.001,300,0.1769777777777778
"(256, 128, 64, 32)",tanh,0.005,300,0.1768
"(300, 200, 100, 50)",tanh,0.001,300,0.16933333333333334
"(256, 128, 64)",tanh,0.001,300,0.16
"(50,)",relu,0.5,300,0.15831111111111112
"(300, 200, 100, 50)",relu,0.1,300,0.15813333333333332
"(256, 128, 64, 32)",relu,0.1,300,0.15813333333333332
"(200, 150, 100, 50)",relu,0.5,300,0.15813333333333332
"(300, 200, 100, 50)",relu,0.5,300,0.15813333333333332
"(100, 50)",relu,0.5,300,0.15813333333333332
"(256, 128, 64, 32)",relu,0.5,300,0.15813333333333332
"(128, 128, 128, 128)",relu,0.5,300,0.15813333333333332
"(100, 100)",relu,0.1,300,0.15804444444444443
"(256, 128, 64)",relu,0.5,300,0.15804444444444443
"(150, 100, 50)",relu,0.5,300,0.15804444444444443
"(512, 256, 128, 64)",relu,0.5,300,0.15804444444444443
"(100, 100)",relu,0.5,300,0.15804444444444443
"(512, 256, 128, 64)",relu,0.1,300,0.15804444444444443
"(512, 512, 512)",relu,0.1,300,0.15795555555555554
"(512, 512, 512)",relu,0.5,300,0.15795555555555554
"(150, 100, 50)",tanh,0.001,300,0.15226666666666666
"(512, 256, 128, 64)",tanh,0.001,300,0.14577777777777778
"(200, 150, 100, 50)",tanh,0.001,300,0.13626666666666667
"(256, 128, 64, 32)",tanh,0.001,300,0.11911111111111111
"(512, 512, 512)",tanh,0.5,300,0.10435555555555555
