hidden_layers,activation,lr,epochs,accuracy
"(256, 128, 64)",relu,0.1,300,0.5316608202471887
"(100, 50)",tanh,0.005,300,0.5170966790151789
"(512, 256, 128, 64)",tanh,0.001,300,0.5052126020391436
"(128, 128, 128, 128)",tanh,0.01,300,0.4970084909681015
"(256, 128, 64)",tanh,0.001,300,0.496467560567813
"(256, 128, 64, 32)",tanh,0.005,300,0.4939432186998
"(150, 100, 50)",tanh,0.005,300,0.49170573386224303
"(512, 512, 512)",relu,0.5,300,0.48936170212765956
"(256, 128, 64, 32)",relu,0.1,300,0.48925515523063307
"(200, 150, 100, 50)",relu,0.1,300,0.48925515523063307
"(128, 128, 128, 128)",relu,0.5,300,0.48925515523063307
"(100, 50)",relu,0.5,300,0.48925515523063307
"(512, 256, 128, 64)",relu,0.1,300,0.48925515523063307
"(300, 200, 100, 50)",relu,0.5,300,0.48925515523063307
"(512, 512, 512)",relu,0.1,300,0.48925515523063307
"(200, 150, 100, 50)",relu,0.5,300,0.48925515523063307
"(256, 128, 64)",relu,0.5,300,0.48925515523063307
"(512, 256, 128, 64)",relu,0.5,300,0.48925515523063307
"(256, 128, 64, 32)",relu,0.5,300,0.48925515523063307
"(150, 100, 50)",relu,0.5,300,0.48925515523063307
"(100, 100)",relu,0.5,300,0.48925515523063307
"(300, 200, 100, 50)",tanh,0.005,300,0.4891076287578271
"(128, 128, 128, 128)",tanh,0.005,300,0.4889355145395535
"(150, 100, 50)",tanh,0.001,300,0.48680457659902304
"(150,)",tanh,0.001,300,0.4484968691604104
"(100, 100)",tanh,0.001,300,0.44004688063469166
"(100,)",tanh,0.001,300,0.4144182539422352
"(100, 50)",tanh,0.001,300,0.41229551191686065
"(256, 128, 64, 32)",tanh,0.001,300,0.4103612759400715
"(128, 128, 128, 128)",tanh,0.001,300,0.4057387797921516
"(200, 150, 100, 50)",tanh,0.001,300,0.3992312231583779
"(300, 200, 100, 50)",tanh,0.001,300,0.39331377241582793
"(50,)",tanh,0.001,300,0.29724945087368454
